movieId,genre
1,Adventure
1,Animation
1,Children
1,Comedy
1,Fantasy
2,Adventure
2,Children
2,Fantasy
3,Comedy
3,Romance
4,Comedy
4,Drama
4,Romance
5,Comedy
6,Action
6,Crime
6,Thriller
7,Comedy
7,Romance
8,Adventure
8,Children
9,Action
10,Action
10,Adventure
10,Thriller
11,Comedy
11,Drama
11,Romance
12,Comedy
12,Horror
13,Adventure
13,Animation
13,Children
14,Drama
15,Action
15,Adventure
15,Romance
16,Crime
16,Drama
17,Drama
17,Romance
18,Comedy
19,Comedy
20,Action
20,Comedy
20,Crime
20,Drama
20,Thriller
21,Comedy
21,Crime
21,Thriller
22,Crime
22,Drama
22,Horror
22,Mystery
22,Thriller
23,Action
23,Crime
23,Thriller
24,Drama
24,Sci-Fi
25,Drama
25,Romance
26,Drama
27,Children
27,Drama
28,Drama
28,Romance
29,Adventure
29,Drama
29,Fantasy
29,Mystery
29,Sci-Fi
30,Crime
30,Drama
31,Drama
32,Mystery
32,Sci-Fi
32,Thriller
33,Adventure
33,Romance
33,IMAX
34,Children
34,Drama
35,Drama
35,Romance
36,Crime
36,Drama
37,Documentary
37,IMAX
38,Children
38,Comedy
39,Comedy
39,Romance
40,Drama
41,Drama
41,War
42,Action
42,Crime
42,Drama
43,Drama
44,Action
44,Adventure
44,Fantasy
45,Comedy
45,Drama
45,Thriller
46,Drama
46,Romance
47,Mystery
47,Thriller
48,Animation
48,Children
48,Drama
48,Musical
48,Romance
49,Drama
49,Romance
50,Crime
50,Mystery
50,Thriller
51,Action
51,Drama
51,Thriller
52,Comedy
52,Drama
52,Romance
53,Adventure
53,Drama
54,Children
54,Comedy
55,Drama
56,Adventure
56,Children
56,Comedy
56,Fantasy
57,Drama
58,Comedy
58,Drama
58,Romance
59,Drama
59,Mystery
60,Adventure
60,Children
60,Fantasy
61,Drama
61,Thriller
62,Drama
63,Comedy
63,Crime
64,Comedy
64,Romance
65,Comedy
66,Action
66,Sci-Fi
66,Thriller
67,Drama
68,Comedy
68,Romance
69,Comedy
70,Action
70,Comedy
70,Horror
70,Thriller
71,Action
72,Comedy
72,Drama
73,Drama
73,War
74,Drama
74,Romance
75,Comedy
75,Drama
76,Action
76,Sci-Fi
76,Thriller
77,Documentary
78,Action
78,Crime
78,Drama
78,Thriller
79,Drama
79,Thriller
80,Children
80,Drama
81,Crime
81,Drama
81,Romance
82,Comedy
82,Drama
83,Drama
83,Romance
84,Comedy
84,Drama
85,Drama
85,Romance
86,Action
86,Adventure
86,Drama
87,Children
87,Comedy
88,Comedy
89,Action
89,Thriller
90,Drama
91,Drama
91,Horror
91,Thriller
92,Comedy
92,Horror
92,Romance
93,Comedy
93,Drama
93,Romance
94,Action
94,Adventure
94,Thriller
95,Comedy
95,Drama
96,Crime
96,Drama
97,Action
97,Thriller
98,Documentary
99,Drama
99,Thriller
100,Adventure
100,Comedy
100,Crime
100,Romance
101,Comedy
102,Mystery
102,Sci-Fi
102,Thriller
103,Comedy
104,Drama
104,Romance
105,Comedy
105,Drama
106,Adventure
106,Children
106,Comedy
106,Musical
107,Documentary
108,Comedy
108,Drama
108,Thriller
109,Action
109,Drama
109,War
110,Crime
110,Drama
110,Thriller
111,Action
111,Adventure
111,Comedy
111,Crime
112,Drama
112,Mystery
113,Drama
114,Comedy
115,Documentary
116,Crime
116,Drama
117,Comedy
117,Romance
118,Comedy
119,Adventure
119,Comedy
119,Drama
120,Drama
121,Comedy
121,Romance
122,Drama
122,Mystery
122,Romance
123,Drama
124,Comedy
125,Adventure
125,Children
125,Fantasy
126,Drama
127,Documentary
128,Comedy
128,Romance
129,Drama
130,Drama
130,Romance
131,Thriller
132,Comedy
132,Drama
133,Documentary
134,Comedy
135,Documentary
136,Documentary
137,Drama
138,Action
138,Drama
139,Drama
139,Romance
140,Comedy
141,Drama
142,Drama
143,Comedy
144,Action
144,Comedy
144,Crime
144,Drama
144,Thriller
145,Adventure
145,Children
146,Drama
147,Drama
148,Crime
148,Drama
148,Thriller
149,Adventure
149,Drama
149,IMAX
150,Action
150,Drama
150,Romance
150,War
151,Drama
151,Horror
152,Action
152,Adventure
152,Comedy
152,Crime
153,Drama
154,Adventure
154,Drama
154,War
155,Comedy
155,Drama
156,Comedy
156,War
157,Adventure
157,Children
158,Crime
158,Drama
158,Mystery
159,Action
159,Adventure
159,Mystery
159,Sci-Fi
160,Drama
160,Thriller
160,War
161,Documentary
162,Action
162,Romance
162,Western
163,Crime
163,Film-Noir
163,Mystery
163,Thriller
164,Action
164,Crime
164,Thriller
