userId,movieId,rating
1,16,4
1,24,1.5
1,32,4
1,47,4
1,50,4
1,109,4
1,149,3
1,160,4
1,164,3
1,203,0.5
1,221,4
1,254,0.5
1,258,4.5
1,259,1.5
1,275,0.5
1,294,4
1,316,4
1,346,4.5
1,353,3
1,374,2.5
1,377,3
1,454,4
1,477,3.5
1,524,4.5
1,584,3.5
1,585,3.5
1,587,2.5
1,588,5
1,592,3
1,603,3.5
1,641,3.5
1,708,0.5
1,713,3.5
1,725,3
1,768,3.5
1,844,5
1,896,5
1,952,4.5
1,1042,4
1,1068,4.5
1,1114,5
1,1172,4.5
1,1174,4
1,1185,4.5
1,1188,5
1,1195,4
1,1196,5
1,1197,5
1,1207,4.5
1,1216,3.5
1,1231,4.5
1,1238,3
1,1240,4
1,1243,3
1,1260,4.5
1,1529,3.5
1,1565,3.5
1,1662,1.5
1,1841,1.5
1,1879,3
1,1939,4
1,1946,4.5
1,2023,1.5
1,2079,1.5
1,2112,4.5
1,2313,4
1,2324,2.5
1,2372,2
1,2384,4.5
1,2419,4
1,2459,4.5
1,2488,4.5
1,2545,3
1,2632,3.5
1,2644,5
1,2678,3
1,2774,4
1,2863,3.5
1,2875,5
1,3171,5
1,3334,4.5
1,3489,4
1,3919,4.5
1,3935,3.5
1,3941,3.5
1,3993,3.5
1,4170,5
1,4213,4
1,4869,3.5
1,4899,4.5
1,4901,4
1,5254,3
1,5283,3.5
1,5323,4
1,5350,3.5
1,5855,4.5
1,6262,4.5
1,6603,3.5
1,6699,4
1,7043,4.5
1,8144,2.5
1,8280,4
1,9944,4.5
1,10124,4.5
1,10177,4.5
1,10189,4.5
1,11083,0.5
1,11373,5
1,11412,4
1,11462,3.5
1,11870,3.5
1,12025,4
1,12454,0.5
2,1,5
2,3,2
2,5,3
2,14,4
2,17,5
2,25,3
2,32,3
2,36,5
2,52,4
2,58,4
2,62,5
2,79,4
2,94,4
2,111,3
2,258,4
2,373,4
2,491,4
2,603,5
2,631,3
2,641,4
2,654,4
2,725,4
2,768,4
2,772,2
2,776,4
2,790,4
2,793,5
2,1053,4
2,1327,4
3,5,3
3,7,3
3,11,4
3,21,5
3,34,5
3,36,4
3,39,4
3,45,5
3,50,5
3,104,3
3,140,3
3,143,4
3,149,4
3,164,3
3,184,3
3,220,5
3,221,5
3,230,4
3,244,5
3,259,3
3,270,5
3,275,4
3,279,3
3,290,3
3,294,5
3,298,4
3,336,3
3,339,5
3,342,5
3,345,3
3,346,3
3,347,3
3,353,3
3,354,4
3,364,4
3,365,3
3,370,3
3,374,3
3,377,3
3,407,3
3,414,4
3,451,3
3,454,4
3,468,3
3,474,4
3,477,4
3,482,3
3,494,4
3,497,4
3,505,3
3,506,5
3,512,5
3,524,4
3,526,5
3,529,3
3,534,3
3,535,4
3,536,3
3,581,4
3,582,3
3,583,3
3,584,3
3,585,4
3,587,3
3,588,5
3,590,4
3,592,3
3,603,5
3,608,4
3,641,4
3,725,3
3,788,5
3,1139,4
4,30,4
4,32,5
4,110,4
4,153,4
4,212,4
4,294,4
4,304,5
4,305,5
4,306,5
4,316,4
4,506,3
4,524,4
4,569,4
4,588,4
4,603,4
4,844,5
4,882,4
4,883,5
4,888,4
4,889,5
4,893,4
4,894,5
4,896,5
4,897,5
4,900,4
4,903,5
4,906,5
4,912,4
4,920,4
4,921,5
4,924,5
4,927,4
4,929,4
4,930,4
4,931,4
4,935,5
4,1064,5
4,1073,4
4,1154,4
4,1162,4
4,1163,3
4,1172,4
4,1179,5
4,1180,5
4,1182,5
4,1184,4
4,1194,3
4,1199,4
4,1200,5
4,1204,4
4,1207,5
4,1217,4
4,1220,4
4,1223,5
4,1225,4
4,1227,5
4,1229,5
4,1240,3
4,1249,5
4,1250,4
4,1254,5
4,1256,4
4,1257,4
4,1268,4
4,1305,3
4,1329,4
4,1362,4
4,1380,4
4,1412,4
4,1467,3
4,1565,4
4,1580,5
4,1660,5
4,1673,2
4,1675,4
4,1849,4
4,1854,5
4,1862,3
4,1863,4
4,1866,4
4,1867,5
4,1915,5
4,1937,4
4,2050,5
4,2078,4
4,2104,4
4,2130,4
4,2218,3
4,2241,5
4,2539,4
4,2546,4
4,2587,4
4,2599,1
4,2603,5
4,2606,4
4,2608,4
4,2629,2
4,2639,2
4,2640,3
4,2641,5
4,2644,5
4,2655,5
4,2675,3
4,2677,4
4,2679,4
